,location,price,type,bedrooms,bathrooms,furnishing,listed by,super builtup area (ft²),carpet area (ft²),bachelors allowed,maintenance (monthly),total floors,car parking,floor no,facing,project name
8145,"TRIMURTI VIHAR, DEHRADUN,Uttaranchal","₹ 5,800",Builder Floors,1,1,Semi-Furnished,Owner,750,700,Yes,200,2,3,2,South-West,
8146,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 16,000",Houses & Villas,3,3,Semi-Furnished,Owner,3200,2600,Yes,0,2,2,1,North-East,
8147,"ALKAPURI, DEHRADUN,Uttaranchal","₹ 6,500",Houses & Villas,1,1,Furnished,Builder,400,300,Yes,0,0,0,0,North-East,
8148,"DALLANWALA, DEHRADUN,Uttaranchal","₹ 6,000",Houses & Villas,1,1,Semi-Furnished,Dealer,500,500,Yes,100,3,0,1,,
8149,"CHAMAN VIHAR, DEHRADUN,Uttaranchal","₹ 16,000",Houses & Villas,3,2,Furnished,Dealer,3300,2300,Yes,100,2,2,1,East,
8150,"RAJENDRA NAGAR, DEHRADUN,Uttaranchal","₹ 11,000",Houses & Villas,1,1,Furnished,Dealer,1000,900,Yes,500,1,1,1,North-East,
8151,"DANDA UJJAIN, KASHIPUR,Uttaranchal","₹ 5,000",Houses & Villas,2,1,Semi-Furnished,Owner,280,120,No,5000,2,0,0,South-West,
8152,"DHARAMPUR, DEHRADUN,Uttaranchal","₹ 7,000",Houses & Villas,1,1,Unfurnished,Owner,5000,5000,Yes,7000,2,0,2,North,
8153,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 25,000",Builder Floors,2,2,Semi-Furnished,Owner,1000,1000,No,500,3,1,3,,Ashish Bahmba
8154,"TRIMURTI VIHAR, DEHRADUN,Uttaranchal","₹ 7,300",Houses & Villas,2,1,Semi-Furnished,Owner,850,750,Yes,200,2,3,2,South-West,
8155,"CHAUDAHBIGHA, RISHIKESH,Uttaranchal","₹ 21,000",Apartments,3,2,Semi-Furnished,Owner,2601,1260,,200,2,3+,1,East,Roshani Apartment
8156,"TRIMURTI VIHAR, DEHRADUN,Uttaranchal","₹ 5,300",Builder Floors,1,1,Furnished,Owner,650,600,Yes,200,2,3,2,South-West,
8157,"DEWARCHAUR KHAM, HALDWANI,Uttaranchal","₹ 6,000",Apartments,2,,Furnished,Owner,2100,2100,Yes,,,1,0,,
8158,"DEWARCHAUR KHAM, HALDWANI,Uttaranchal","₹ 6,500",Apartments,2,1,Furnished,Owner,0,0,Yes,,,,,,
8159,"SHIVALIK NAGAR, HARIDWAR,Uttaranchal","₹ 2,750",Apartments,1,1,Unfurnished,Owner,200,200,Yes,3000,,,,,
8160,"DALLANWALA, DEHRADUN,Uttaranchal","₹ 10,500",Houses & Villas,2,2,Semi-Furnished,Dealer,1250,1450,Yes,0,1,1,1,North-East,
8161,"RAJA RAM VIHAR, DEHRADUN,Uttaranchal","₹ 5,000",Houses & Villas,1,1,Furnished,Owner,200,100,Yes,1,3,1,3,,Single Room for rent
8162,"RAIPUR AREA, DEHRADUN,Uttaranchal","₹ 6,500",Houses & Villas,2,1,Semi-Furnished,Owner,700,700,No,0,2,1,1,South,
8163,"KARGIGRANT, DEHRADUN,Uttaranchal","₹ 6,800",Houses & Villas,1,1,Semi-Furnished,Owner,700,550,Yes,250,1,1,1,East,
8164,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 7,000",Houses & Villas,1,1,Semi-Furnished,Dealer,500,500,Yes,0,1,1,1,East,
8165,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 20,000",Houses & Villas,3,2,Semi-Furnished,Dealer,2500,2500,No,0,1,2,1,East,
8166,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 7,000",Houses & Villas,1,1,Semi-Furnished,Dealer,600,600,Yes,0,1,1,1,East,
8167,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 8,500",Houses & Villas,1,1,Furnished,Dealer,1500,950,Yes,100,1,1,1,East,
8168,"GANESH PUR, ROORKEE,Uttaranchal","₹ 15,000",Apartments,3,2,Unfurnished,Owner,1375,1200,No,1000,1,3+,2,North,
8169,"NAV VIHAR, DEHRADUN,Uttaranchal","₹ 11,000",Houses & Villas,2,1,Semi-Furnished,Owner,3000,2500,Yes,11000,1,1,1,North-East,
8170,"RUDRAPUR INDUSTRIAL AREA, RUDRAPUR,Uttaranchal","₹ 9,200",Apartments,3,2,Semi-Furnished,Owner,1190,1100,Yes,1190,6,1,6,North,
8171,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 24,000",Apartments,3,3,Semi-Furnished,Dealer,1800,1800,No,0,3,1,2,East,
8172,"PREM NAGAR, DEHRADUN,Uttaranchal","₹ 12,500",Houses & Villas,2,2,Semi-Furnished,Owner,1250,950,No,,,1,1,South-East,
8173,"RAVI NAGAR, DEHRADUN,Uttaranchal","₹ 10,000",Houses & Villas,1,1,Semi-Furnished,Owner,2700,2400,Yes,,1,1,1,South-East,"1-BHK available for rent purpose, Non independent house"
8174,"SUDHUWAL, DEHRADUN,Uttaranchal","₹ 7,500",Houses & Villas,2,1,Furnished,Owner,1300,1250,Yes,7500,2,1,1,East,
8175,"CLEMENT TOWN, DEHRADUN,Uttaranchal","₹ 6,000",Apartments,2,2,Semi-Furnished,Owner,2400,700,Yes,0,2,3+,,North,Self owned
8176,"TANDA UJJAIN, KASHIPUR,Uttaranchal","₹ 5,500",Houses & Villas,1,1,Unfurnished,Owner,750,750,Yes,100,0,0,0,North-East,
8177,"NEHRU NAGAR, ROORKEE,Uttaranchal","₹ 10,500",Houses & Villas,3,1,Unfurnished,Owner,1200,1200,Yes,,2,1,1,North-East,
8178,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 14,000",Houses & Villas,2,2,Furnished,Dealer,1250,1250,No,0,1,1,1,West,
8179,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 5,500",Houses & Villas,1,1,Semi-Furnished,Dealer,800,800,Yes,0,1,1,1,East,
8180,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 30,000",Houses & Villas,4,3,Semi-Furnished,Dealer,0,0,Yes,0,2,2,2,North-East,
8181,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 22,000",Apartments,2,2,Furnished,Dealer,2000,2000,No,0,6,1,6,East,
8182,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 12,000",Houses & Villas,2,2,Furnished,Dealer,1280,1280,No,0,1,1,1,East,
8183,"VASANT VIHAR PHASE 1, DEHRADUN,Uttaranchal","₹ 7,000",Houses & Villas,1,1,Furnished,Dealer,550,550,Yes,0,1,1,1,North-East,
8184,"NATTHANPUR, DEHRADUN,Uttaranchal","₹ 7,000",Houses & Villas,2,1,Semi-Furnished,Owner,2400,2400,Yes,7000,1,2,1,North-East,
8185,"SHAHPUR SANTORE, DEHRADUN,Uttaranchal","₹ 10,000",Houses & Villas,2,1,Semi-Furnished,Owner,700,900,Yes,0,0,1,1,East,
8186,"BARRAGE COLONY, RISHIKESH,Uttaranchal","₹ 24,000",Houses & Villas,4,3,Semi-Furnished,Owner,2250,2000,Yes,200,2,1,1,North-East,
8187,"DALLANWALA, DEHRADUN,Uttaranchal","₹ 45,000",Houses & Villas,3,3,Unfurnished,Dealer,250,220,No,0,2,2,2,West,
8188,"CONNAUGHT PLACE, DEHRADUN,Uttaranchal","₹ 12,000",Houses & Villas,3,2,Unfurnished,Owner,1500,1350,No,50,2,1,1,East,
8189,"BITHORIA NO1, HALDWANI,Uttaranchal","₹ 6,000",Houses & Villas,2,2,Unfurnished,Owner,700,600,Yes,6000,1,0,1,South,
8190,"GANGANAGAR, RISHIKESH,Uttaranchal","₹ 12,000",Apartments,2,2,Semi-Furnished,Owner,810,750,No,1000,3,1,3,North-East,
8191,"GARHI CANT, DEHRADUN,Uttaranchal","₹ 14,000",Apartments,2,1,Unfurnished,Owner,900,800,No,1000,2,0,1,North-East,
8192,"TANDA UJJAIN, KASHIPUR,Uttaranchal","₹ 6,500",Apartments,2,1,Furnished,Owner,650,650,Yes,,2,0,1,East,
8193,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 12,000",Builder Floors,2,2,Semi-Furnished,Dealer,1200,1000,Yes,0,3,1,1,North-East,
8194,"CLEMENT TOWN, DEHRADUN,Uttaranchal","₹ 12,000",Apartments,2,2,Semi-Furnished,Dealer,1200,1500,Yes,0,2,1,2,North-West,
8195,"HALDWANI TALLI, HALDWANI,Uttaranchal","₹ 4,000",Houses & Villas,1,1,Semi-Furnished,Owner,2500,2500,Yes,4000,,0,,East,
8196,"DANDHERA, ROORKEE,Uttaranchal","₹ 8,000",Houses & Villas,3,2,Unfurnished,,1360,1360,,8000,,1,,,
8197,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 15,000",,,,,,,,,,,,,,
8198,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 30,000",Houses & Villas,4,4,Semi-Furnished,Dealer,2200,1800,No,0,2,1,2,North-East,
8199,"HALDWANI CUM KATHGODAM, HALDWANI,Uttaranchal","₹ 2,500",Houses & Villas,1,1,Furnished,Owner,100,100,Yes,2500,1,1,0,West,
8200,"DOON ENCLAVE, DEHRADUN,Uttaranchal","₹ 8,000",Houses & Villas,2,1,Semi-Furnished,Owner,2,1,Yes,8000,0,,0,,Ground floor 2 room with kitchen & dinning
8201,"GMS ROAD, DEHRADUN,Uttaranchal","₹ 12,000",Builder Floors,2,2,Semi-Furnished,Dealer,1000,900,Yes,0,3,1,1,North-East,
8202,"PANDITWARI, DEHRADUN,Uttaranchal","₹ 3,200",Houses & Villas,3,2,Semi-Furnished,Owner,1400,1200,Yes,,2,1,0,,For Rent
8203,"UDDHAM SINGH NAGAR, RUDRAPUR,Uttaranchal","₹ 3,000",Houses & Villas,1,1,Semi-Furnished,Owner,1000,1000,Yes,250,2,,2,East,DEV HOMES NEAR DAKH CHOWK
8204,"DEHRAKHAS, DEHRADUN,Uttaranchal","₹ 9,000",Builder Floors,1,1,Furnished,Dealer,800,7000,Yes,0,3,1,1,East,
8205,"RAM NAGAR, ROORKEE,Uttaranchal","₹ 7,500",Houses & Villas,3,2,Unfurnished,Owner,1500,1450,Yes,0,2,1,1,North-East,
8206,"HATHIBARKALA SALAWALA, DEHRADUN,Uttaranchal","₹ 10,000",Houses & Villas,2,1,Unfurnished,Owner,480,480,No,10000,2,1,1,North-East,
8207,"BAHUGUNA COLONY, DEHRADUN,Uttaranchal","₹ 22,000",Apartments,3,2,Unfurnished,Owner,1700,1300,Yes,2000,3,1,3,East,
8208,"AZAD NAGAR, ROORKEE,Uttaranchal","₹ 8,500",Apartments,3,2,Unfurnished,Owner,1000,1000,No,,1,0,1,South-East,House for rent 2 or 3 room set.
8209,"DEHRAKHAS, DEHRADUN,Uttaranchal","₹ 13,000",Builder Floors,3,2,Semi-Furnished,Dealer,1475,1522,Yes,0,3,1,1,South-East,
