,location,price,type,bedrooms,bathrooms,furnishing,listed by,super builtup area (ft²),carpet area (ft²),bachelors allowed,maintenance (monthly),total floors,car parking,floor no,facing,project name
0,"Borivali East, Mumbai, Maharashtra","₹ 15,000",Apartments,1,1,Unfurnished,Dealer,450,400,Yes,0,3,1,3,North,
1,"Manpada, Thane, Maharashtra","₹ 23,000",Apartments,2,2,Semi-Furnished,Owner,1050,705,Yes,0,21,0,9,North-East,
2,"Vasai West, Mumbai, Maharashtra","₹ 7,000",Apartments,1,1,Semi-Furnished,Dealer,450,350,No,500,3,0,2,East,
3,none,,,,,,,,,,,,,,,
4,"Palava City, Thane, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Dealer,490,377,Yes,0,12,1,6,East,
5,"Khaira, Boisar, Maharashtra","₹ 14,000",Houses & Villas,2,3,Unfurnished,Dealer,1700,1100,Yes,,2,1,1,North-East,Chitralaya mada
6,"Serene Meadows, Nashik, Maharashtra","₹ 31,000",Apartments,3,3,Furnished,Dealer,1600,1350,No,1500,11,1,5,East,
7,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 11,000",Apartments,2,2,Unfurnished,Dealer,1100,700,No,0,24,1,10,North-West,
8,"Nilje Gaon, Navi Mumbai, Maharashtra","₹ 11,000",Apartments,2,2,Unfurnished,Dealer,909,686,Yes,0,8,1,3,North,
9,"Shivaji Nagar, Mumbai, Maharashtra","₹ 1,000",Houses & Villas,1,1,Unfurnished,Owner,180,180,No,500000,2,0,0,East,
10,"CIDCO Colony, Boisar, Maharashtra","₹ 2,500",Apartments,1,1,Unfurnished,Owner,250,0,Yes,800,1,0,,West,Shuklacompound
11,"Virar West, Thane, Maharashtra","₹ 7,500",Apartments,1,2,Semi-Furnished,Dealer,640,390,No,,12,0,,West,
12,"Karve Nagar, Pune, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Owner,400,400,Yes,0,3,0,1,East,
13,"Mandvi, Mumbai, Maharashtra","₹ 40,000",Apartments,2,2,Unfurnished,Owner,750,550,Yes,,3,0,2,West,Zohra Manzil
14,"Thergaon, Pune, Maharashtra","₹ 19,000",Apartments,2,2,Semi-Furnished,Owner,960,700,Yes,2400,10,1,4,West,
15,"Nilje Gaon, Navi Mumbai, Maharashtra","₹ 10,500",Apartments,2,2,Unfurnished,Dealer,909,686,Yes,0,8,1,5,North,
16,"Dighi, Pune, Maharashtra","₹ 9,000",Apartments,1,1,Unfurnished,Owner,500,550,Yes,1400,4,1,2,East,
17,"Palava City, Thane, Maharashtra","₹ 4,500",Apartments,1,1,Unfurnished,Dealer,396,305,Yes,0,12,1,4,East,
18,"Dronagiri, Navi Mumbai, Maharashtra","₹ 25,000",Apartments,2,4+,Unfurnished,Dealer,2100,1350,No,0,14,2,4,East,
19,"Ulwe, Navi Mumbai, Maharashtra","₹ 7,500",Apartments,1,1,Unfurnished,Dealer,650,650,Yes,0,7,1,5,East,
20,"Andheri West, Mumbai, Maharashtra","₹ 56,000",Apartments,2,2,Unfurnished,Dealer,1200,900,Yes,,9,1,5,East,VEERA DESAI
21,"Magarpatta City, Pune, Maharashtra","₹ 14,000",Apartments,1,1,Semi-Furnished,Dealer,670,450,Yes,0,9,1,6,East,
22,"Bavdhan, Pune, Maharashtra","₹ 20,000",Apartments,2,2,Unfurnished,Dealer,1030,790,Yes,0,14,1,11,East,
23,"Palava City, Thane, Maharashtra","₹ 8,500",Apartments,2,2,Unfurnished,Dealer,848,650,Yes,0,18,1,2,East,
24,"Ghansoli, Navi Mumbai, Maharashtra","₹ 6,300",Apartments,1,1,Unfurnished,Dealer,395,275,Yes,,3,0,2,East,KARTIK ENTERPRISES
25,"Gangapur, Nashik, Maharashtra","₹ 13,000",Apartments,1,1,Unfurnished,Dealer,1100,850,No,500,3,1,2,East,
26,"Serene Meadows, Nashik, Maharashtra","₹ 45,000",Apartments,3,3,Furnished,Dealer,3000,2500,No,0,2,1,1,West,
27,"Canada Corner Chowk, Nashik, Maharashtra","₹ 35,000",Apartments,4,3,Semi-Furnished,Dealer,2800,2300,Yes,800,4,1,2,East,
28,"Jehan Circle, Nashik, Maharashtra","₹ 48,000",Apartments,3,3,Furnished,Dealer,300,2500,No,4000,11,2,5,East,
29,"Karve Nagar, Pune, Maharashtra","₹ 10,500",Apartments,1,1,Unfurnished,Owner,600,600,Yes,0,3,0,2,East,
30,"Dattatray Nagar, Nashik, Maharashtra","₹ 1,200",Houses & Villas,3,2,Semi-Furnished,Owner,700,100,Yes,100,2,3+,2,West,
31,"Jogeshwari West, Mumbai, Maharashtra","₹ 33,000",Apartments,2,2,,Dealer,650,550,No,,7,,,,HARCHU SIND BAHAR
32,"Dombivli West, Thane, Maharashtra","₹ 11,000",Apartments,1,1,Furnished,Dealer,500,435,Yes,0,5,1,3,North,
33,"Jogeshwari West, Mumbai, Maharashtra","₹ 47,000",Apartments,2,2,Unfurnished,Dealer,900,745,No,,14,,,,SAGAR TOWER JOGESHWARI WEST
34,"Jogeshwari West, Mumbai, Maharashtra","₹ 42,000",Apartments,2,2,Unfurnished,Dealer,961,712,No,,21,1,,,UNIVERSAL CUBICAL
35,"Jogeshwari West, Mumbai, Maharashtra","₹ 25,000",Apartments,1,1,Unfurnished,Dealer,550,415,No,,8,0,2,,LILLY TOWER
36,"Palava City, Thane, Maharashtra","₹ 25,000",Apartments,2,2,Furnished,Dealer,909,686,Yes,0,22,1,1403,East,
37,"Panvel, Navi Mumbai, Maharashtra","₹ 6,000",Apartments,1,1,Unfurnished,Dealer,650,400,Yes,,4,0,2,,
38,"Narhe Industrial Area, Pune, Maharashtra","₹ 8,000",Apartments,1,1,Unfurnished,Owner,750,600,Yes,0,5,1,4,North-East,
39,"Jogeshwari West, Mumbai, Maharashtra","₹ 25,000",Apartments,1,2,Unfurnished,Dealer,500,415,No,,21,0,12,,UNITED PARK
40,"Hanuman Nagar, Nagpur, Maharashtra","₹ 16,000",Houses & Villas,2,2,Semi-Furnished,Dealer,3000,1800,,500,1,1,0,East,Kalpesh motghare
41,"Kalyani Nagar, Pune, Maharashtra","₹ 10,500",Apartments,1,2,Unfurnished,Owner,650,565,Yes,800,6,,6,,Kumar Parnakuti
42,"Pathardi Phata, Nashik, Maharashtra","₹ 6,500",Apartments,2,2,Unfurnished,Owner,750,650,No,400,4,,3,North-East,Shivganga Avenue wing A
43,"Phursungi, Pune, Maharashtra","₹ 7,000",Apartments,1,1,Unfurnished,Owner,614,530,Yes,900,4,0,5,West,
44,"Hadapsar, Pune, Maharashtra","₹ 15,000",Apartments,2,2,Semi-Furnished,Dealer,1000,780,Yes,0,14,1,6,East,
45,"Santosh Nagar, Pune, Maharashtra","₹ 3,000",Houses & Villas,1,1,Unfurnished,Owner,250,200,Yes,3000,2,0,1,East,
46,"Mulund West, Mumbai, Maharashtra","₹ 6,000",Apartments,2,2,Semi-Furnished,Owner,1350,1150,Yes,0,18,1,18,East,
47,"Sasane Nagar, Pune, Maharashtra","₹ 5,500",Apartments,1,1,Semi-Furnished,Owner,350,350,Yes,350,3,0,3,North,
48,"Sinhagad Road, Pune, Maharashtra","₹ 34,00,000",Apartments,2,1,Unfurnished,Owner,880,880,No,350,4,,2,South,Ashish apartment
49,"Ghansoli, Navi Mumbai, Maharashtra","₹ 8,000",Apartments,1,1,Unfurnished,Dealer,450,300,Yes,,17,1,8,East,KARTIK ENTERPRISES
50,"Palava City, Mumbai, Maharashtra","₹ 10,500",Apartments,2,2,Semi-Furnished,Dealer,715,583,Yes,0,8,1,4,West,
51,"Hadapsar, Pune, Maharashtra","₹ 5,500",Houses & Villas,1,1,Unfurnished,Owner,380,350,No,,1,0,1,East,Room Rent
52,"Gulmohar Road, Mumbai, Maharashtra","₹ 33,000",Apartments,1,1,Semi-Furnished,Owner,175,175,Yes,2500,0,0,0,East,
53,"Palava City, Mumbai, Maharashtra","₹ 15,000",Apartments,1,1,Furnished,Dealer,593,448,Yes,0,8,1,6,East,
54,"Hadapsar, Pune, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Owner,500,450,Yes,,5,,4,,
55,"Kothrud, Pune, Maharashtra","₹ 24,000",Apartments,2,2,Furnished,Dealer,1000,900,Yes,,,,,,
56,"Bhayandar, Thane, Maharashtra","₹ 19,000",Apartments,2,2,Semi-Furnished,Owner,950,850,No,0,9,1,4,East,
57,"Garkheda Parisar, Aurangabad, Maharashtra","₹ 3,500",Apartments,1,1,Semi-Furnished,Owner,0,0,No,0,0,0,0,East,
58,"Hadapsar, Pune, Maharashtra","₹ 13,000",Apartments,2,2,Semi-Furnished,Owner,900,800,Yes,0,11,1,6,East,
59,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 9,000",Apartments,2,2,Unfurnished,Dealer,1020,650,No,0,11,1,9,North-East,
60,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 7,000",Apartments,1,1,Unfurnished,Dealer,700,450,No,0,14,0,8,East,
61,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 6,500",Apartments,1,1,Unfurnished,Dealer,665,425,No,0,14,0,10,East,
62,"Balewadi, Pune, Maharashtra","₹ 16,000",Apartments,2,2,Unfurnished,Dealer,1010,780,Yes,0,11,1,5,East,
63,"Bavdhan, Pune, Maharashtra","₹ 15,000",Apartments,2,2,Unfurnished,Dealer,1020,780,Yes,0,13,1,2,East,
64,"Ganga Nagar, Pune, Maharashtra","₹ 6,500",Apartments,1,1,Unfurnished,Owner,570,500,No,0,2,0,2,West,
65,"Naigaon East, Mumbai, Maharashtra","₹ 3,000",Apartments,1,2,Furnished,Owner,500,340,Yes,,14,1,6,South-West,Global Arena
66,"Kasarvadavli, Thane, Maharashtra","₹ 16,000",Apartments,1,1,Furnished,Dealer,600,423,No,0,7,0,2,East,
67,"Kasarvadavli, Thane, Maharashtra","₹ 12,000",Apartments,1,1,Semi-Furnished,Dealer,540,444,No,0,7,0,3,North-West,
68,"Katraj, Pune, Maharashtra","₹ 5,000",Builder Floors,1,1,Semi-Furnished,Owner,350,300,Yes,100,2,0,2,South-East,
69,"Kasarvadavli, Thane, Maharashtra","₹ 15,000",Apartments,1,1,Semi-Furnished,Dealer,550,430,No,0,7,0,4,North-East,
70,"Serene Meadows, Nashik, Maharashtra","₹ 29,000",Apartments,3,3,Semi-Furnished,Dealer,1600,1350,No,2000,12,1,10,East,
71,"Seawoods West, Navi Mumbai, Maharashtra","₹ 25,000",Apartments,2,2,Semi-Furnished,Dealer,900,675,,,7,,4,,FOR DETAILS PLEASE CONTACT @8169858083
72,"Shivane, Pune, Maharashtra","₹ 6,000",Apartments,1,1,Unfurnished,Owner,550,550,Yes,500,4,1,2,East,
73,"Vadgaon Budruk, Pune, Maharashtra","₹ 7,500",Apartments,1,1,Semi-Furnished,Owner,600,550,No,550,4,0,2,,
74,"Cole N V, Thane, Maharashtra","₹ 6,999",Apartments,1,2,Unfurnished,Dealer,696,445,Yes,0,18,1,12,East,
75,"Model Colony, Nashik, Maharashtra","₹ 19,000",Apartments,2,2,Unfurnished,Dealer,1300,1100,Yes,800,3,1,1,North,
76,"Kasarvadavli, Thane, Maharashtra","₹ 15,000",Apartments,1,2,Furnished,Dealer,550,430,No,0,12,0,5,East,
77,"Alandi Road, Pune, Maharashtra","₹ 10,000",Builder Floors,1,1,Unfurnished,Owner,560,450,No,1500,10,0,3,East,
78,"New Amar Nagar, Nagpur, Maharashtra","₹ 7,000",Houses & Villas,1,1,Unfurnished,Owner,550,500,No,0,1,1,1,East,
79,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 6,000",Apartments,1,1,Unfurnished,Dealer,710,421,No,0,4,1,2,North-East,
80,"Shahnoorwadi, Aurangabad, Maharashtra","₹ 15,000",Houses & Villas,3,3,Unfurnished,Owner,1070,1000,No,900,2,1,1,East,
81,"Ravet, Pune, Maharashtra","₹ 11,100",Apartments,1,1,Unfurnished,Dealer,560,480,Yes,100,7,1,2,East,
82,"Palava City, Mumbai, Maharashtra","₹ 10,000",Apartments,2,2,Unfurnished,Dealer,784,618,No,0,8,1,3,East,
83,"Amanora, Pune, Maharashtra","₹ 16,000",Apartments,1,1,Semi-Furnished,Dealer,650,480,Yes,0,12,1,5,East,
84,"Amanora Park Town, Pune, Maharashtra","₹ 30,000",Apartments,2,2,Semi-Furnished,Dealer,980,760,Yes,0,15,1,4,East,
85,"Hadapsar, Pune, Maharashtra","₹ 12,000",Apartments,1,1,Semi-Furnished,Dealer,650,450,Yes,0,13,1,7,East,
86,"Karmayogi Nagar, Nashik, Maharashtra","₹ 16,000",Apartments,3,2,Unfurnished,Dealer,1600,1300,No,1000,8,1,1,West,
87,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 5,500",Apartments,1,1,Unfurnished,Dealer,611,321,No,0,14,1,4,North-West,
88,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Dealer,620,333,Yes,0,14,1,3,North-East,
89,"Titwala, Thane, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Owner,1,450,Yes,5000,,1,600,,
90,"Wagholi, Pune, Maharashtra","₹ 12,000",Apartments,1,1,Furnished,Owner,350,300,Yes,,5,1,4,,HelloWorld Eon
91,"Vasai East, Mumbai, Maharashtra","₹ 12,000",Apartments,2,2,Semi-Furnished,Dealer,980,675,No,1500,7,1,5,East,
92,"Tingre Nagar, Pune, Maharashtra","₹ 5,999",Apartments,1,1,Furnished,Owner,150,150,Yes,0,2,0,1,,MashaAllah Saberin Bungalow
93,"Kothrud, Pune, Maharashtra","₹ 30,000",Apartments,3,3,Semi-Furnished,Dealer,1800,1700,Yes,0,15,2,4,East,
94,"Chandan Nagar, Pune, Maharashtra","₹ 2,000",Apartments,1,1,Unfurnished,Owner,1000,900,Yes,4,2,1,2,East,
95,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Dealer,634,310,No,0,14,1,9,North-East,
96,"Lohegaon, Pune, Maharashtra","₹ 6,500",Apartments,1,1,Unfurnished,Owner,550,500,No,300,3,1,2,North-East,
97,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 5,500",Apartments,1,1,Unfurnished,Dealer,655,337,No,0,14,1,12,West,
98,"Keshav Nagar, Pune, Maharashtra","₹ 7,499",Apartments,1,1,Semi-Furnished,Owner,850,800,Yes,0,5,2,3,East,
99,"Byramji Town, Nagpur, Maharashtra","₹ 12,000",Apartments,2,3,Semi-Furnished,Dealer,1105,1002,Yes,1100,4,1,2,North,
100,"Hadapsar, Pune, Maharashtra","₹ 11,000",Apartments,1,1,Semi-Furnished,Dealer,650,450,No,0,12,1,6,East,
101,none,,,,,,,,,,,,,,,
102,"SP Infocity, Pune, Maharashtra","₹ 13,500",Apartments,3,3,Unfurnished,Dealer,1549,1200,Yes,0,11,1,5,East,
103,"Hadapsar, Pune, Maharashtra","₹ 11,000",Apartments,2,2,Semi-Furnished,Dealer,950,750,,0,8,1,5,East,SATYAM SHIVAM SUNDARAM
104,"Virar West, Mumbai, Maharashtra","₹ 6,500",Apartments,1,2,Semi-Furnished,Dealer,630,480,No,,15,,7,East,Bhoomi Acropolis
105,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 6,000",Apartments,1,1,Unfurnished,Dealer,670,438,No,0,6,1,1,West,
106,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 7,000",Apartments,2,2,Unfurnished,Dealer,1050,763,No,0,4,1,3,East,
107,"Kharadi, Pune, Maharashtra","₹ 2,500",Houses & Villas,1,1,Semi-Furnished,Owner,1,1,Yes,0,2,1,1,North,
108,"Oshiwara, Mumbai, Maharashtra","₹ 17,000",Apartments,1,1,Furnished,Owner,270,225,Yes,0,7,0,0,East,
109,"Shilphata, Navi Mumbai, Maharashtra","₹ 13,000",Apartments,2,2,Unfurnished,Dealer,950,650,Yes,0,23,1,16,North-East,
110,"Vasant Vihar, Thane, Maharashtra","₹ 20,000",Apartments,1,1,Semi-Furnished,Dealer,705,505,No,250,15,1,10,East,
111,"Hinjewadi Rajiv Gandhi Infotech Park Phase 2, Pune, Maharashtra","₹ 13,500",Apartments,1,1,Semi-Furnished,Owner,654,654,Yes,0,10,1,4,East,
112,"Manjari, Pune, Maharashtra","₹ 11,500",Apartments,2,2,Semi-Furnished,Owner,750,600,,,5,1,4,East,
113,"Virar West, Mumbai, Maharashtra","₹ 7,000",Apartments,1,1,Semi-Furnished,Dealer,580,382,No,,14,,6,East,Rustomjee D1
114,"Hadapsar, Pune, Maharashtra","₹ 24,000",Apartments,3,3,Semi-Furnished,Dealer,1450,1280,Yes,0,12,1,7,East,
115,"Amanora Park Town, Pune, Maharashtra","₹ 17,000",Apartments,1,1,Furnished,Dealer,689,510,Yes,0,22,1,14,East,
116,"Dombivli East, Mumbai, Maharashtra","₹ 15,000",Apartments,2,2,Unfurnished,Dealer,1105,865,No,0,1,2,0,East,
117,"Hadapsar, Pune, Maharashtra","₹ 15,000",Apartments,2,2,Semi-Furnished,Dealer,950,750,,0,12,1,6,North,GEMINI GRAND BAY
118,"Jehan Circle, Nashik, Maharashtra","₹ 27,000",Apartments,3,3,Semi-Furnished,Dealer,2500,1800,No,1000,6,1,4,East,
119,"Ranjanpada, Navi Mumbai, Maharashtra","₹ 2,000",Apartments,1,1,Unfurnished,Owner,450,380,Yes,0,14,0,1,South,
120,"Wadala East, Mumbai, Maharashtra","₹ 40,00,000",Apartments,2,2,Semi-Furnished,Dealer,750,625,Yes,0,22,1,8,North,
121,none,,,,,,,,,,,,,,,
122,"Virar West, Mumbai, Maharashtra","₹ 6,500",Apartments,1,2,Semi-Furnished,Dealer,655,432,No,,16,0,7,East,Maitry Heights
123,"Sahakar Nagar Near Sone Gaon, Nagpur, Maharashtra","₹ 15,000",Houses & Villas,1,2,Semi-Furnished,Builder,1700,1300,Yes,100,1,1,1,North-East,
124,"Nishant Colony, Sangli (-Miraj), Maharashtra","₹ 10,000",Apartments,2,1,Unfurnished,Dealer,1050,950,Yes,500,4,0,2,West,
125,"Dombivli East, Mumbai, Maharashtra","₹ 6,500",Apartments,1,1,Unfurnished,Dealer,415,395,No,0,4,0,4,East,
126,"Pisoli, Pune, Maharashtra","₹ 18,000",Apartments,3,3,Semi-Furnished,Owner,1500,1350,Yes,1000,11,1,3,West,
127,"Kharadi, Pune, Maharashtra","₹ 7,490",Apartments,1,1,Unfurnished,Owner,750,650,Yes,600,3,0,2,East,
128,"Magarpatta City, Pune, Maharashtra","₹ 18,000",Apartments,2,2,Unfurnished,Dealer,1200,1050,Yes,,11,1,9,North,Magarpatta city
129,"Gangapur, Nashik, Maharashtra","₹ 50,000",Houses & Villas,4,4,Furnished,Dealer,3500,3000,No,0,1,2,1,East,
130,"Canada Corner Chowk, Nashik, Maharashtra","₹ 55,000",Apartments,4,4,Semi-Furnished,Dealer,3800,3400,No,2500,7,2,4,East,
131,"Gangapur, Nashik, Maharashtra","₹ 25,000",Apartments,2,2,Semi-Furnished,Dealer,1000,850,No,1000,9,2,5,East,
132,"Govind Nagar, Nashik, Maharashtra","₹ 32,000",Apartments,4,4,Semi-Furnished,Dealer,2500,2000,No,0,2,2,1,West,
133,"Trimurti Town, Nashik, Maharashtra","₹ 15,000",Apartments,3,3,Semi-Furnished,Dealer,1600,1300,No,1000,6,1,1,East,
134,"DSouza Colony, Nashik, Maharashtra","₹ 24,000",Apartments,3,3,Semi-Furnished,Dealer,1600,1300,No,1000,6,1,2,East,
135,"Dhanakwadi, Pune, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Dealer,450,350,Yes,,4,,3,East,
136,"Kausa, Thane, Maharashtra","₹ 7,000",Apartments,1,1,Unfurnished,Owner,580,580,No,,8,0,7,North,chirag height khardi road
137,"Lohegaon, Pune, Maharashtra","₹ 12,500",Apartments,1,2,Furnished,Owner,1080,770,No,500,3,1,3,East,
138,"Dhanakwadi, Pune, Maharashtra","₹ 5,000",Apartments,1,1,Unfurnished,Dealer,450,350,Yes,,4,,3,East,
139,"Katraj, Pune, Maharashtra","₹ 6,500",Apartments,1,1,Unfurnished,Dealer,450,350,Yes,,3,,1,East,
140,"Ambegaon, Pune, Maharashtra","₹ 15,000",Apartments,2,2,Semi-Furnished,Dealer,900,600,Yes,,12,1,5,East,
141,"Katraj, Pune, Maharashtra","₹ 14,000",Apartments,2,2,Semi-Furnished,Dealer,900,600,,,6,1,3,East,
142,"Dhanakwadi, Pune, Maharashtra","₹ 12,000",Apartments,2,2,Unfurnished,Dealer,1000,800,Yes,,3,,1,East,
143,"Seawoods West, Navi Mumbai, Maharashtra","₹ 23,000",Apartments,2,2,Unfurnished,Dealer,1100,750,,,4,,2,,FOR DETAILS PLEASE REACH @ 8169858083
144,"Bhopar N V, Thane, Maharashtra","₹ 7,000",Apartments,1,2,Semi-Furnished,Dealer,650,450,Yes,0,26,1,11,North-East,
145,"Ulwe, Navi Mumbai, Maharashtra","₹ 7,000",Apartments,1,1,Semi-Furnished,Dealer,650,450,Yes,0,4,1,4,East,
146,"Hadapsar, Pune, Maharashtra","₹ 13,000",Apartments,2,2,Semi-Furnished,Dealer,900,711,Yes,0,11,1,11,East,
147,"Ambegaon, Pune, Maharashtra","₹ 11,000",Apartments,1,1,Unfurnished,Dealer,600,400,,,12,1,5,East,
148,"Ambegaon, Pune, Maharashtra","₹ 8,000",Apartments,1,1,Unfurnished,Dealer,600,400,Yes,,4,,2,East,
149,"Bhosari Sector 2, Pune, Maharashtra","₹ 5,200",Houses & Villas,2,1,Unfurnished,Owner,420,320,No,0,2,0,2,East,
150,"Dhanakwadi, Pune, Maharashtra","₹ 8,000",Apartments,1,1,Unfurnished,Dealer,600,400,Yes,,4,,3,East,
151,"Dhanakwadi, Pune, Maharashtra","₹ 11,000",Apartments,1,1,Semi-Furnished,Dealer,650,400,,,6,,2,East,
152,"Katraj, Pune, Maharashtra","₹ 9,000",Apartments,1,1,Unfurnished,Dealer,600,400,,,4,,1,East,
153,"Katraj, Pune, Maharashtra","₹ 11,000",Apartments,1,1,Semi-Furnished,Dealer,600,400,,,6,,2,East,
154,"Apte Nagar, Kolhapur, Maharashtra","₹ 7,000",Apartments,2,2,Semi-Furnished,Owner,925,850,No,700,5,1,4,North,
155,"Viman Nagar, Pune, Maharashtra","₹ 10,000",Builder Floors,1,1,Unfurnished,Owner,650,600,Yes,500,3,1,0,North,
156,"Thergaon Belthika Nagar, Pune, Maharashtra","₹ 6,800",Houses & Villas,1,1,Unfurnished,Owner,350,320,Yes,0,1,1,0,South,
157,"Bharati Vidyapeeth, Pune, Maharashtra","₹ 17,000",Apartments,2,2,Furnished,Owner,1000,885,Yes,1000,3,1,1,East,
158,"Nerul, Navi Mumbai, Maharashtra","₹ 20,000",Apartments,1,1,Furnished,Dealer,625,400,Yes,,4,,1,,FOR DETAILS PLEASE REACH @8169858083
159,"Mira Road East, Mumbai, Maharashtra","₹ 18,000",Apartments,1,2,Semi-Furnished,Dealer,769,525,No,0,17,0,11,East,
160,"Ghansoli, Navi Mumbai, Maharashtra","₹ 15,500",Apartments,1,2,Unfurnished,Dealer,605,385,Yes,,7,1,3,East,KARTIK ENTERPRISES
161,"Balaji Nagar, Nagpur, Maharashtra","₹ 8,000",Houses & Villas,1,1,Unfurnished,Owner,800,800,,,3,,1,,
162,"Ghodbuder Road, Thane, Maharashtra","₹ 15,000",Apartments,1,1,Furnished,Owner,530,475,No,0,7,,6,East,Cosmos Spring Hira manik
163,"Mira Road, Mumbai, Maharashtra","₹ 13,500",Apartments,1,1,Unfurnished,Dealer,625,410,No,0,11,1,7,North-East,
164,"Lekha Colony, Ahmadnagar, Maharashtra","₹ 10,000",Houses & Villas,2,2,Semi-Furnished,Dealer,1200,1000,Yes,,2,3+,,,Indian properties
165,"Hadapsar, Pune, Maharashtra","₹ 5,000",Houses & Villas,1,1,Unfurnished,Dealer,300,100,Yes,0,5,3+,3,North-East,
166,"Tirmurti Nagar, Pune, Maharashtra","₹ 6,500",Apartments,1,1,Semi-Furnished,Owner,550,450,Yes,0,5,1,1,North-East,
167,"Manjari Road Village, Pune, Maharashtra","₹ 6,500",Apartments,1,2,Unfurnished,Owner,720,650,Yes,1000,5,0,3,West,
168,"Mirajgave Nagari, Aurangabad, Maharashtra","₹ 6,000",Apartments,2,1,Unfurnished,Owner,800,750,No,1000,,,,,
169,"Kalyan, Thane, Maharashtra","₹ 3,600",Houses & Villas,1,1,Unfurnished,Owner,300,250,No,100,,,,East,Colony type
170,"Tingre Nagar, Pune, Maharashtra","₹ 12,000",Apartments,1,1,Semi-Furnished,Owner,720,650,Yes,1000,3,0,1,East,
171,"Hadapsar, Pune, Maharashtra","₹ 11,000",Apartments,2,2,Semi-Furnished,Dealer,970,650,Yes,0,11,1,10,East,
172,"Hadapsar, Pune, Maharashtra","₹ 10,500",Apartments,1,1,Semi-Furnished,Dealer,630,456,Yes,0,11,1,10,East,
173,"Kothrud, Pune, Maharashtra","₹ 6,500",Apartments,1,1,Unfurnished,Dealer,300,300,Yes,200,3,0,3,East,
174,"Nerul, Navi Mumbai, Maharashtra","₹ 38,000",Apartments,2,2,Furnished,Dealer,1200,750,No,,16,1,2,,ASK ME REALTOR PRAMOD 8169858083
175,"Kurla West, Mumbai, Maharashtra","₹ 1,000",Apartments,1,1,Unfurnished,Dealer,300,300,,1000,3,0,3,West,"1Bhk,3rd Floor, Without Lift, Back To Markas Masjid,Pipe Road Kurla We"
176,"Kurla West, Mumbai, Maharashtra","₹ 23,000",Builder Floors,1,1,Unfurnished,Dealer,210,210,,100,2,0,2,West,"Channel Building,2nd Floor,in Chawl,Near Kurla West Station"
177,"Kurla West, Mumbai, Maharashtra","₹ 21,000",Apartments,2,1,Unfurnished,Dealer,410,410,,100,4,0,4,West,"4th Floor, LIG Colony, old Mahda,VB Nagar, Kurla West"
178,"Mumbra Bypass Rd, Thane, Maharashtra","₹ 9,000",Apartments,2,,,,700,700,,,7,,,,
179,"Vashi, Navi Mumbai, Maharashtra","₹ 25,000",Apartments,2,2,Unfurnished,Dealer,1200,800,No,,,,,,
180,"Dhanori, Pune, Maharashtra","₹ 11,500",Apartments,1,1,Semi-Furnished,Owner,500,450,Yes,0,3,1,2,North-West,
181,"Vishrant Wadi, Pune, Maharashtra","₹ 19,000",Apartments,2,2,Furnished,Owner,1250,980,Yes,2000,7,2,5,East,
182,"Taloja Panchanand, Navi Mumbai, Maharashtra","₹ 6,000",Apartments,1,1,Unfurnished,Dealer,630,400,Yes,0,18,0,5,North-East,
183,"Virar West, Mumbai, Maharashtra","₹ 6,000",Apartments,1,2,Semi-Furnished,Dealer,690,420,No,0,15,1,9,West,
184,"Malaji Pada, Navghar-Manikpur, Maharashtra","₹ 7,000",Apartments,3,2,Unfurnished,Dealer,600,800,No,1500,4,2,2,South-East,
185,"Shivane, Pune, Maharashtra","₹ 7,500",Apartments,2,1,Semi-Furnished,Owner,750,690,Yes,7500,4,0,2,East,
186,"Andheri West, Mumbai, Maharashtra","₹ 1,30,000",Apartments,3,3,Furnished,Dealer,2000,1500,No,,32,1,8,,
187,"Shil Phata, Navi Mumbai, Maharashtra","₹ 4,000",Apartments,1,1,Unfurnished,Owner,700,600,Yes,350,8,3,5,North,
188,"Mumbra, Thane, Maharashtra","₹ 11,000",Apartments,1,1,Unfurnished,Dealer,610,490,,,7,1,,,Near bypaas
189,"Andheri West, Mumbai, Maharashtra","₹ 3,50,000",Apartments,4,4,Furnished,Dealer,2500,1800,Yes,,30,,10,,
190,"Karanjade, Navi Mumbai, Maharashtra","₹ 8,000",Apartments,1,1,Unfurnished,Dealer,670,420,Yes,,7,1,5,,
